TIME,Q2 - 2022,Q3 - 2022,Q4 - 2022,Q1 - 2023,Q2 - 2023,Q3 - 2023,Q4 - 2023
Northern Europe,637460,895095,1062450,1143870,1211845,1308720,1391680
Southern Europe,658665,1005805,1161900,1245075,1300185,1342440,1380020
Western Europe,660695,2581760,3929415,4308685,4537595,4775725,4941630
Eastern Europe,5174315,6138155,5347840,5455280,5340160,5393005,5453555
